"","abstract","title","type"
"11","A system is described for managing data and information in a healthcare environment, such as a hospital. A handheld code scanner reads codes and either accepts data, or performs instructions based on the read code. The code scanner wirelessly transmits the codes or data to a central server which acts on the read code to carry out necessary functions. The system is useful for tracking patient data, such as for delivery of medicine. In addition, since the system can carry out instructions, it is useful for allowing healthcare workers to quickly and conveniently perform their duties without the necessity of sitting at a computer terminal.","Wireless terminal","utility"
"12","The apparatus of the present invention stretches the carpal ligament and the flexor retinaculum, as well as the superficial structures and muscles of the hand, in a safe manner under precise control of the patient or a healthcare professional. Various embodiments of the inventive apparatus commonly include a housing for receiving the hypothenar portion of the patient's hand with an open side portion adapted and configured to contact and retain the hypothenar region of the patient's hand, with an edge of the housing extending along a central longitudinal dorsal portion of the hand, while a flexible resilient strap is wrapped around the thenar portion of the hand (i.e. around the thumb area) in such a manner as to pull the thenar portion of the hand upward with the edge of the housing serving as a fulcrum around which the thenar and hypothenar portions of the hand are bent. The strap is then secured to itself or to the housing to keep the thenar and hypothenar portions pulled apart during the course of treatment. The bending of the thenar and hypothenar regions of the hand around the fulcrum cause the carpal ligament and the flexor retinaculum to stretch expanding the carpal tunnel and relieving pressure on the median nerve.","Adjustable apparatus and method for treating carpal tunnel syndrome","utility"
"13","Server appliances provide context management functionality in the healthcare field and other fields. The server appliances may present themselves on a network as one or more World Wide Web sites accessible to applications whose context is managed.","Context management server appliance","utility"
"14","As the obesity rate climbs nationwide, obese and morbidly obese patients will continue to pose special lifting challenges to the healthcare industry. Obesity among American adults has nearly doubled during the past two decades. One in 80 men weights &#x3e;300 pounds and one in 200 women weights &#x3e;300 pounds. Getting assistance is crucial when moving these patients. With these rising numbers, have come the numerous complications relating to medical treatment for these bariatric patients. Healthcare providers must consider the additional costs associated with handling of the bariatric patient along with safety issues relating to both the bariatric patient and caregiver. Also, moving extremely obese patients can prove to very dangerous or even fatal. The most economical assistance to move bariatric patients to and from the hospital bed can only be provided by some mechanical aid. The management of bariatric patients produces special challenges, and the best way to ensure safe patient handling is through the use of special mechanical equipment that meet the size and weight requirements of these bariatric patients and that can be operated in very confined spaces. The target population is estimated to be the 4.5 million extremely obese persons in the United States, with a Body Mass Index (BMI) &#x3e;35 that will become patients in some health care facility. The Centers for Disease Control (CDC) estimates that care for obese patients costs an average of 37 percent more than people of normal weight. In 2003, obesity-related medical costs in the US reached &#x3e;$ 75 billion. This apparatus will be the first of its kind to incorporate adaptive control techniques to present-day assistive lift device designs.","Bariatric patient lift apparatus","utility"
"15","There is disclosed a medical communication and locator system and method including a medical chart communication system and method and a personnel communication system and method for monitoring the location of charts and personnel in a medical environment. The communication and locator systems may be provided with one-way or two-way communication for locating charts or personnel, contacting needed personnel in the event of an emergency, or for communicating with healthcare workers. A docking station for the communication and locator systems is also disclosed.","Medical communication and locator system and method","utility"
"16","Systems and methods of automatically or semi-automatically loading patient chart information onto a patient room computer system. The systems and methods involve using the patient room computer system to obtain patient identifying information, then requesting the patient chart from a primary computer system. Upon receiving the patient chart from the primary computer system, the invention relates to displaying the patient chart on the patient room computer system. Obtaining the patient information may occur in several ways. For instance, since a patient is typically associated with a specific room within the healthcare facility, the act of obtaining patient information may involve determining the room identification for the patient and using the room identification, requesting the patient chart associated with the room. In an embodiment, the room identification information is transmitted to the patient room computer system automatically upon entering the room, e.g., by using cellular telephone technology. In another embodiment, the patient room computer system has bar-code reading capabilities and thus reads a bar-code, either as part of the room providing room information as part of the patient providing patient identification information independent of room information.","System and method of automatically displaying patient information","utility"
"17","A system is described for managing data and information in a healthcare environment, such as a hospital. A handheld code scanner reads codes and either accepts data, or performs instructions based on the read code. The code scanner wirelessly transmits the codes or data to a central server which acts on the read code to carry out necessary functions. The system is useful for tracking patient data, such as for delivery of medicine. In addition, since the system can carry out instructions, it is useful for allowing healthcare workers to quickly and conveniently perform their duties without the necessity of sitting at a computer terminal.","Method for controlling processes in a medical workflow system","utility"
"18","Systems and software for treating vascular disease in humans and generating data representing treatment plans are disclosed. A first set of clinical vascular health data from a healthcare provider and representing a vascular health condition of a patient is received at a data center server that is communicatively coupled to a public data network. One or more vascular disease analysis algorithms are applied to the first set of vascular health data, to result in creating and storing an initial treatment plan for the patient. A second set of vascular health data is received from a monitoring device that is associated with the patient and that is communicatively coupled to the data network; the second set of data include Doppler monitor data obtained from the peripheral vascular system of the patient. One or more vascular analysis algorithms are applied to result in creating one or more supplementary treatment plans for the patient. At least one of the treatment plans includes a biofeedback interaction. The treatment plans are provided to the patient over the data network. The foregoing steps are iteratively repeated one or more times as determined by the physician and patient, resulting in improved vascular health.","System for improving vascular systems in humans using biofeedback and network data communication","utility"
"19","A system comprising a switching entity disposed between healthcare data processing resources and non-healthcare data processing resources. The switching entity is capable of operation in a first state in which an end user device is communicatively coupled to the healthcare data processing resources to support a healthcare session and a second state in which the end user device is communicatively coupled to the non-healthcare data processing resources to support a non-healthcare session. If the authentication request message is received while the switching entity is operating in the second state and a particular non-healthcare session is in progress, and the selected authentication entity is the healthcare authentication entity, initiating a memory purge at the end user device. Attacks on the healthcare data processing resources, both from the non-healthcare resources directly and via the end user device, are thus prevented.","Systems and methods for preventing an attack on healthcare data processing resources in a hospital information system","utility"
"20","A combination writing instrument and hand sanitizer including a cartridge containing a mechanical finger pump at a first end and a retractable pen nib at a second end. The cartridge contains an effective antimicrobial hand sanitizer solution therein which is readily dispensed by the finger pump. The writing instrument is useful for personnel in the healthcare industry and food industry where if function both as a device for recording information and a hand sanitizer.","Antimicrobial hand sanitizer and writing pen","utility"
"21","A method for a first healthcare provider to consult a second healthcare provider regarding at least one of diagnosis of a patient and treatment of a patient includes the first healthcare provider submitting a request for consultation on a machine, and the second healthcare provider submitting a consultation response on a machine.","Method of facilitating medical consultations","utility"
"22","An active guidelines capability or component is linked to a computerized patient record system to integrate the use of clinical guidelines in the workflow of clinicians treating patients. Many healthcare institutions maintain sets of clinical guidelines describing recommended treatment or analysis options for patients displaying sets of symptoms or for whom certain diagnoses have been made. The active guidelines feature adds an active guidelines tag to such clinical guidelines so that when the clinician accesses the clinical guidelines and wishes to follow the recommendation, the clinician merely has to click on a hypertext created from the tag which then transmits action orders, also contained in the tag, to be transmitted to the computerized patient record system for implementation.","Method for operating active clinical guidelines","utility"
"23","Methods and systems are provided for optimizing profits for healthcare practices and insurance networks. The methods and systems include modifying physician's cost management behavior to enhance profitability of healthcare practices and insurance networks by identifying physicians that are not profitable because of cost management behavior and providing intervention to change the management behavior of the physician.","Methods and systems for healthcare practice management","utility"
"24","The invention relates generally to remote health monitoring systems, as applied to the field of public health surveillance. In particular, it relates to a multi-user remote health monitoring system that is capable of reliably identifying and collecting data from frontline healthcare providers, laboratory and hospital information systems, patients and healthy individuals in a number of ways, with a view to aid in the field of public health. The system can also be used to query and collect additional information regarding specifics pertaining to the health of the individuals, and for patient tracking, monitoring, and the collection of individual data.","Remote health monitoring system","utility"
"25","Methods are provided for collecting fees for managing and optimizing the profitability of a plurality of physicians in a healthcare practice participating in an insurance network. The methods include establishing a relationship between a healthcare consultation group and the healthcare practice participating in the insurance network to increase the physician's profitability by reducing a risk of not receiving a predetermined reimbursement amount for ancillary medical costs from the insurance network. The methods also include distributing predetermined percentages of savings attributed to the physicians' modified ancillary medical cost management behavior.","Methods for collecting fees for healthcare management group","utility"
